Bulbasaur	GRASS	POISON	45	49	49	65	65	45	45	16	1	64	6	89	21	86	-1	-1	-1
Ivysaur	GRASS	POISON	60	62	63	80	80	60	45	32	2	141	6	89	21	86	-1	-1	-1
Venusaur	GRASS	POISON	80	82	83	100	100	80	45	0	-1	208	6	89	21	86	-1	-1	-1
Charmander	FIRE	NULL	39	52	43	60	50	65	45	16	4	65	5	18	41	57	56	-1	-1
Charmeleon	FIRE	NULL	58	64	58	80	65	80	45	36	5	142	5	18	41	57	56	-1	-1
Charizard	FIRE	FLYING	78	84	78	109	85	100	45	0	-1	209	5	18	41	57	56	-1	-1
Squirtle	WATER	NULL	44	48	65	50	64	43	45	16	7	66	6	9	22	16	66	93	-1
Wartortle	WATER	NULL	59	63	80	65	80	58	45	36	8	143	6	9	22	16	66	93	-1
Blastoise	WATER	NULL	79	83	100	85	105	78	45	0	-1	210	6	9	22	16	66	93	-1
Caterpie	BUG	NULL	45	30	35	20	20	45	255	7	10	53	6	-1	-1	-1	-1	-1	-1
Metapod	BUG	NULL	50	20	55	25	25	30	120	10	11	72	6	-1	-1	-1	-1	-1	-1
Butterfree	BUG	FLYING	60	45	50	90	80	70	45	0	-1	160	6	17	38	-1	-1	-1	-1
Weedle	BUG	POISON	40	35	30	20	20	50	255	7	13	52	3	-1	-1	-1	-1	-1	-1
Kakuna	BUG	POISON	45	25	50	25	25	35	120	10	14	71	3	-1	-1	-1	-1	-1	-1
Beedrill	BUG	POISON	65	90	40	45	80	75	45	0	-1	159	3	30	49	39	37	-1	-1
Pidgey	NORMAL	FLYING	40	45	40	35	35	56	255	18	16	55	1	13	7	-1	-1	-1	-1
Pidgeotto	NORMAL	FLYING	63	60	55	50	50	71	120	36	17	113	1	13	7	-1	-1	-1	-1
Pidgeot	NORMAL	FLYING	83	80	75	70	70	101	45	0	-1	172	1	13	7	-1	-1	-1	-1
Rattata	NORMAL	NULL	30	56	35	25	35	72	255	20	19	57	6	13	61	-1	-1	-1	-1
Raticate	NORMAL	NULL	55	81	60	50	70	97	127	0	-1	116	6	13	61	-1	-1	-1	-1
Spearow	NORMAL	FLYING	40	60	30	31	31	70	255	20	21	58	2	30	29	-1	-1	-1	-1
Fearow	NORMAL	FLYING	65	90	65	61	61	100	90	0	-1	162	2	30	29	-1	-1	-1	-1
Ekans	POISON	NULL	35	60	44	40	54	55	255	22	23	62	50	3	16	8	-1	-1	-1
Arbok	POISON	NULL	60	95	69	65	79	80	90	0	-1	147	50	3	16	8	-1	-1	-1
Pikachu	ELECTRIC	NULL	35	55	40	50	50	90	190	22	25	82	14	13	87	-1	-1	-1	-1
Raichu	ELECTRIC	NULL	60	90	55	90	80	110	75	0	-1	122	14	13	87	-1	-1	-1	-1
Sandshrew	GROUND	NULL	50	75	85	20	30	40	255	22	27	93	5	41	3	59	-1	-1	-1
Sandslash	GROUND	NULL	75	100	110	45	55	65	90	0	-1	163	5	41	3	59	-1	-1	-1
NidoranF	POISON	NULL	55	47	52	40	40	41	235	16	29	59	6	5	3	16	59	11	-1
Nidorina	POISON	NULL	70	62	67	55	55	56	120	32	30	117	6	5	3	16	59	11	-1
Nidoqueen	POISON	GROUND	90	92	87	75	85	76	45	0	-1	194	6	51	-1	-1	-1	-1	-1
NidoranM	POISON	NULL	46	57	40	40	40	50	235	16	32	60	6	19	3	30	11	-1	-1
Nidorino	POISON	NULL	61	72	57	55	55	65	120	32	33	118	6	19	3	30	11	-1	-1
Nidoking	POISON	GROUND	81	102	77	85	75	85	45	0	-1	195	6	3	48	-1	-1	-1	-1
Clefairy	FAIRY	NULL	70	45	48	60	65	35	150	16	35	68	4	78	-1	-1	-1	-1	-1
Clefable	FAIRY	NULL	95	70	73	95	90	60	25	0	-1	129	4	78	-1	-1	-1	-1	-1
Vulpix	FIRE	NULL	38	41	40	50	65	65	190	22	37	63	18	13	57	56	-1	-1	-1
Ninetales	FIRE	NULL	73	76	75	81	100	100	75	0	-1	178	18	13	57	56	-1	-1	-1
Jigglypuff	NORMAL	FAIRY	115	45	20	45	25	20	170	16	39	76	4	78	51	53	-1	-1	-1
Wigglytuff	NORMAL	FAIRY	140	70	45	85	50	45	50	0	-1	109	4	78	51	53	-1	-1	-1
Zubat	POISON	FLYING	40	45	35	30	40	55	255	22	41	54	63	16	7	-1	-1	-1	-1
Golbat	POISON	FLYING	75	80	70	65	75	90	90	32	42	171	63	16	7	-1	-1	-1	-1
Oddish	GRASS	POISON	45	50	55	75	65	30	255	21	43	78	23	8	36	86	-1	-1	-1
Gloom	GRASS	POISON	60	65	70	85	75	40	120	32	44	132	23	8	36	86	-1	-1	-1
Vileplume	GRASS	POISON	75	80	85	110	90	50	45	0	-1	184	23	8	36	86	-1	-1	-1
Paras	BUG	GRASS	35	70	55	45	55	25	190	24	46	70	5	63	41	-1	-1	-1	-1
Parasect	BUG	GRASS	60	95	80	60	80	30	75	0	-1	128	5	63	41	-1	-1	-1	-1
Venonat	BUG	POISON	60	55	50	40	55	45	190	31	48	75	6	63	38	83	-1	-1	-1
Venomoth	BUG	POISON	70	65	60	90	75	90	75	0	-1	138	6	63	38	83	-1	-1	-1
Diglett	GROUND	NULL	10	55	25	35	45	95	255	26	50	81	5	76	41	79	-1	-1	-1
Dugtrio	GROUND	NULL	35	100	50	50	70	120	50	0	-1	153	5	76	41	79	-1	-1	-1
Meowth	NORMAL	NULL	40	45	35	40	40	90	255	28	52	69	5	16	35	59	41	-1	-1
Persian	NORMAL	NULL	65	70	60	65	65	115	90	0	-1	148	5	16	35	59	41	-1	-1
Psyduck	WATER	NULL	50	52	48	65	50	55	190	33	54	80	5	17	59	93	-1	-1	-1
Golduck	WATER	NULL	80	82	78	95	80	85	75	0	-1	174	5	17	59	93	-1	-1	-1
Mankey	FIGHTING	NULL	40	80	35	35	45	70	190	28	56	74	5	20	59	48	-1	-1	-1
Primeape	FIGHTING	NULL	65	105	60	60	70	95	75	0	-1	149	5	20	59	48	-1	-1	-1
Growlithe	FIRE	NULL	55	70	45	70	50	60	190	28	58	91	16	18	47	57	-1	-1	-1
Arcanine	FIRE	NULL	90	110	80	100	80	95	75	0	-1	213	16	18	47	57	-1	-1	-1
Poliwag	WATER	NULL	40	50	40	40	40	90	255	25	60	77	9	22	78	51	93	-1	-1
Poliwhirl	WATER	NULL	65	65	65	50	50	90	120	35	61	131	9	22	78	51	93	-1	-1
Poliwrath	WATER	FIGHTING	90	95	95	70	90	70	45	0	-1	185	9	22	78	51	93	-1	-1
Abra	PSYCHIC	NULL	25	20	15	105	55	90	200	16	63	75	5	17	38	83	-1	-1	-1
Kadabra	PSYCHIC	NULL	40	35	30	120	70	105	100	35	64	145	5	17	38	83	-1	-1	-1
Alakazam	PSYCHIC	NULL	55	50	45	135	95	120	50	0	-1	186	5	17	38	83	-1	-1	-1
Machop	FIGHTING	NULL	70	80	50	35	35	35	180	28	66	75	20	33	40	45	-1	-1	-1
Machoke	FIGHTING	NULL	80	100	70	50	60	45	90	38	67	146	20	33	40	45	-1	-1	-1
Machamp	FIGHTING	NULL	90	130	80	65	85	55	45	0	-1	193	20	33	40	45	-1	-1	-1
Bellsprout	GRASS	POISON	50	75	35	70	30	40	255	21	69	84	89	50	8	21	40	-1	-1
Weepinbell	GRASS	POISON	65	90	50	85	45	55	120	30	70	151	89	50	8	21	40	-1	-1
Victreebel	GRASS	POISON	80	105	65	100	70	70	45	0	-1	191	89	50	8	21	40	-1	-1
